Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Afghanistan,2010,49,3.8,43.4,28.19,13.95,14.24,102.1,652230,33,65
Afghanistan,2015,45.8,3.8,52,33.75,16.68,17.07,102.3,652230,33,65
Afghanistan,2021,43.4,3.8,61.8,40.1,19.84,20.25,102.1,652230,33,65
Afghanistan,2022,43.1,3.8,63.3,41.13,20.36,20.77,102,652230,33,65
Albania,2010,21,16.2,106.3,2.91,1.45,1.46,100.3,27400,41,20
Albania,2015,18.2,19,105.2,2.88,1.44,1.45,100.6,27400,41,20
Albania,2021,16.3,22.9,104.2,2.85,1.43,1.43,99.8,27400,41,20
Albania,2022,16.1,23.5,103.7,2.84,1.42,1.42,99.5,27400,41,20
Algeria,2010,27.6,7.1,15.1,35.86,17.57,18.28,104,2381740,28,3
Algeria,2010,27.6,7.1,15.1,35.86,17.57,18.28,104,2381741,28,3
Algeria,2015,29,8.1,16.6,39.54,19.39,20.15,103.9,2381740,28,3
Algeria,2015,29,8.1,16.6,39.54,19.39,20.15,103.9,2381741,28,3
Algeria,2021,30.7,9.4,18.5,44.18,21.68,22.5,103.8,2381740,28,3
Algeria,2021,30.7,9.4,18.5,44.18,21.68,22.5,103.8,2381741,28,3
Algeria,2022,30.6,9.7,18.9,44.9,22.04,22.86,103.7,2381740,28,3
Algeria,2022,30.6,9.7,18.9,44.9,22.04,22.86,103.7,2381741,28,3
American Samoa,2010,34.6,6.7,274.2,0.05,0.03,0.03,101.7,200,-14.33,-170
American Samoa,2015,31.5,8.3,256.8,0.05,0.03,0.03,100.4,200,-14.33,-170
American Samoa,2021,27.5,11.4,225.2,0.05,0.02,0.02,98,200,-14.33,-170
American Samoa,2022,27.1,12.1,221.4,0.04,0.02,0.02,97.6,200,-14.33,-170
Andorra,2010,16.3,15.3,152.2,0.07,0.04,0.04,103.1,470,42.5,1.5
Andorra,2015,15.5,17.6,152.7,0.07,0.04,0.04,101.8,470,42.5,1.5
Andorra,2021,13.1,20.9,168.2,0.08,0.04,0.04,104.4,470,42.5,1.5
Andorra,2022,12.8,21.6,169.8,0.08,0.04,0.04,104.5,470,42.5,1.5
Angola,2010,45.7,4.1,18.7,23.36,11.85,11.51,97.1,1246700,-12.5,18.5
Angola,2015,45.8,4.1,22.6,28.13,14.25,13.88,97.4,1246700,-12.5,18.5
Angola,2021,45.2,4.3,27.7,34.5,17.45,17.05,97.7,1246700,-12.5,18.5
Angola,2022,45,4.3,28.5,35.59,18,17.59,97.7,1246700,-12.5,18.5
Anguilla,2010,23.6,10.3,149.7,0.01,0.01,0.01,96.5,,18.25,-63.17
Anguilla,2015,20.3,12.2,165.1,0.01,0.01,0.01,96.9,,18.25,-63.17
Anguilla,2021,17.6,15.4,179,0.02,0.01,0.01,96,,18.25,-63.17
Anguilla,2022,17.3,16,180.2,0.02,0.01,0.01,95.8,,18.25,-63.17
Antigua and Barbuda,2010,23.8,10.4,194.8,0.09,0.05,0.04,90,440,17.05,-61.8
Antigua and Barbuda,2015,21.2,12.2,204.4,0.09,0.05,0.04,91,440,17.05,-61.8
Antigua and Barbuda,2021,18.8,15.5,211.9,0.09,0.05,0.04,91.4,440,17.05,-61.8
Antigua and Barbuda,2022,18.5,16.1,213.1,0.09,0.05,0.04,91.4,440,17.05,-61.8
Argentina,2010,25.6,14.6,14.7,41.1,20.79,20.31,97.7,2736690,-34,-64
Argentina,2015,24.7,15.3,15.5,43.26,21.85,21.4,97.9,2736690,-34,-64
Argentina,2021,23.4,16.1,16.2,45.28,22.86,22.41,98,2736690,-34,-64
Argentina,2022,23.1,16.2,16.3,45.51,22.98,22.53,98,2736690,-34,-64
Armenia,2010,19.3,14,103.5,2.95,1.59,1.36,85.6,28470,40,45
Armenia,2015,19.6,15.8,101.1,2.88,1.57,1.31,83.9,28470,40,45
Armenia,2021,20.4,19.8,98.1,2.79,1.53,1.26,81.9,28470,40,45
Armenia,2022,20.5,20.3,97.7,2.78,1.53,1.25,81.7,28470,40,45
Aruba,2010,20.7,14.7,557.5,0.1,0.05,0.05,91.2,180,12.5,-69.97
Aruba,2015,18.8,18.2,579.2,0.1,0.05,0.05,90.2,180,12.5,-69.97
Aruba,2021,16.8,23.2,591.9,0.11,0.06,0.05,89.1,180,12.5,-69.97
Aruba,2022,16.2,23.9,591.4,0.11,0.06,0.05,89.2,180,12.5,-69.97
Australia,2010,19.1,19,2.9,22.02,11.06,10.96,99.1,7682300,-27,133
Australia,2010,19.1,19,2.9,22.02,11.06,10.96,99.1,7692020,-27,133
Australia,2015,18.9,20.3,3.1,23.82,11.99,11.83,98.7,7682300,-27,133
Australia,2015,18.9,20.3,3.1,23.82,11.99,11.83,98.7,7692020,-27,133
Australia,2021,18.4,22.2,3.4,25.92,13.05,12.87,98.6,7682300,-27,133
Australia,2021,18.4,22.2,3.4,25.92,13.05,12.87,98.6,7692020,-27,133
Australia,2022,18.2,22.6,3.4,26.18,13.18,13,98.6,7682300,-27,133
Australia,2022,18.2,22.6,3.4,26.18,13.18,13,98.6,7692020,-27,133
Austria,2010,14.8,23.2,101.3,8.36,4.29,4.07,94.9,82520,47.33,13.33
Austria,2015,14.3,24,104.7,8.64,4.41,4.24,96.2,82520,47.33,13.33
Austria,2021,14.4,26.1,108.1,8.92,4.53,4.39,96.9,82520,47.33,13.33
Austria,2022,14.4,26.7,108.3,8.94,4.54,4.4,97,82520,47.33,13.33
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,83217,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,83092,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82705,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82605,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82604,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82618,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82652,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82672,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82660,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82637,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82629,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82627,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82622,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82656,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82658,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82659,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82663,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82670,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82662,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82654,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82646,40.5,47.5
Azerbaijan,2010,23.9,7.9,111.8,9.24,4.71,4.53,96.1,82650,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,83217,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,83092,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82705,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82605,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82604,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82618,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82652,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82672,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82660,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82637,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82629,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82627,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82622,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82656,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82658,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82659,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82663,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82670,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82662,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82654,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82646,40.5,47.5
Azerbaijan,2015,24.4,8.8,119.3,9.86,5.01,4.86,97,82650,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,83217,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,83092,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82705,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82605,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82604,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82618,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82652,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82672,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82660,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82637,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82629,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82627,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82622,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82656,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82658,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82659,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82663,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82670,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82662,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82654,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82646,40.5,47.5
Azerbaijan,2021,23.9,11.9,124.8,10.31,5.22,5.09,97.4,82650,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,83217,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,83092,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82705,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82605,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82604,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82618,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82652,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82672,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82660,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82637,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82629,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82627,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82622,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82656,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82658,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82659,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82663,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82670,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82662,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82654,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82646,40.5,47.5
Azerbaijan,2022,23.5,12.5,125.3,10.36,5.25,5.11,97.4,82650,40.5,47.5
Bahamas,2010,26.4,9.1,69.7,0.37,0.19,0.18,93.6,10010,24.25,-76
Bahamas,2015,23.3,10.5,73.3,0.39,0.2,0.19,92.6,10010,24.25,-76
Bahamas,2021,19.6,13.3,76.1,0.41,0.21,0.2,91.6,10010,24.25,-76
Bahamas,2022,19.1,13.9,76.5,0.41,0.21,0.2,91.4,10010,24.25,-76
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,690,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,710,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,720,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,730,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,740,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,750,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,760,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,762,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,767,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,770,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,771,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,778,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,779,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,780,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,785,26,50.55
Bahrain,2010,20.5,3.5,,1.21,0.46,0.75,164,790,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,690,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,710,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,720,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,730,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,740,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,750,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,760,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,762,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,767,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,770,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,771,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,778,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,779,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,780,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,785,26,50.55
Bahrain,2015,20.4,5,,1.36,0.52,0.84,161.7,790,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,690,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,710,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,720,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,730,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,740,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,750,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,760,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,762,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,767,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,770,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,771,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,778,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,779,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,780,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,785,26,50.55
Bahrain,2021,20.4,6.4,,1.46,0.55,0.91,163.8,790,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,690,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,710,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,720,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,730,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,740,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,750,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,760,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,762,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,767,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,770,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,771,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,778,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,779,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,780,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,785,26,50.55
Bahrain,2022,20.2,6.9,,1.47,0.56,0.91,162.9,790,26,50.55
Bangladesh,2010,33.4,6.7,,148.39,74.18,74.21,100,130170,24,90
Bangladesh,2015,30.2,7.5,,157.83,79.29,78.54,99,130170,24,90
Bangladesh,2021,26.5,9,,169.36,85.36,84,98.4,130170,24,90
Bangladesh,2022,26,9.3,,171.19,86.33,84.86,98.3,130170,24,90
Barbados,2010,20.1,16.6,638.9,0.27,0.14,0.13,91.2,430,13.17,-59.53
Barbados,2015,18.8,18.7,646.7,0.28,0.15,0.13,91.7,430,13.17,-59.53
Barbados,2021,17.2,22.4,654,0.28,0.15,0.13,92.1,430,13.17,-59.53
Barbados,2022,16.9,23.1,655,0.28,0.15,0.14,92.2,430,13.17,-59.53
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202928,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202892,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202878,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202868,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202854,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202855,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202829,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202835,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202848,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202844,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202826,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202815,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202833,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202904,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202901,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202902,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202898,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202910,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202899,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202908,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202973,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202978,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202988,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202980,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202965,53,28
Belarus,2010,14.9,19.7,48,9.73,5.22,4.51,86.3,202950,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202928,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202892,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202878,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202868,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202854,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202855,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202829,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202835,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202848,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202844,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202826,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202815,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202833,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202904,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202901,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202902,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202898,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202910,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202899,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202908,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202973,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202978,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202988,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202980,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202965,53,28
Belarus,2015,16.3,21.4,47.8,9.7,5.22,4.48,86,202950,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202928,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202892,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202878,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202868,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202854,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202855,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202829,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202835,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202848,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202844,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202826,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202815,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202833,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202904,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202901,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202902,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202898,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202910,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202899,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202908,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202973,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202978,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202988,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202980,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202965,53,28
Belarus,2021,16.8,24.2,47.2,9.58,5.16,4.42,85.5,202950,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202928,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202892,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202878,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202868,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202854,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202855,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202829,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202835,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202848,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202844,53,28
